Year,Month,Day,MaxTemp,MinTemp,Rainfall
2024,29,1,21,11,1
2024,29,2,22,12,2
2024,29,3,23,13,3
2024,29,4,24,14,4
2024,29,5,25,10,5
2024,29,6,26,11,6
2024,29,7,27,12,7
2024,29,8,28,13,8
2024,29,9,29,14,9
2024,29,10,20,10,10
2024,29,11,21,11,11
2024,29,12,22,12,12
2024,29,13,23,13,0
2024,29,14,24,14,1
2024,29,15,25,10,2
2024,29,16,26,11,3
2024,29,17,27,12,4
2024,29,18,28,13,5
2024,29,19,29,14,6
2024,29,20,20,10,7
2024,29,21,21,11,8
2024,29,22,22,12,9
2024,29,23,23,13,10
2024,29,24,24,14,11
2024,29,25,25,10,12
2024,29,26,26,11,0
2024,29,27,27,12,1
2024,29,28,28,13,2
2024,29,29,29,14,3
2024,29,30,20,10,4
2024,29,31,21,11,5
