Year,Month,Day,MaxTemp,MinTemp,Rainfall
2024,1,1,21,11,1
2024,1,2,22,12,2
2024,1,3,23,13,3
2024,1,4,24,14,4
2024,1,5,25,10,5
2024,1,6,26,11,6
2024,1,7,27,12,7
2024,1,8,28,13,8
2024,1,9,29,14,9
2024,1,10,20,10,10
2024,1,11,21,11,11
2024,1,12,22,12,12
2024,1,13,23,13,0
2024,1,14,24,14,1
2024,1,15,25,10,2
2024,1,16,26,11,3
2024,1,17,27,12,4
2024,1,18,28,13,5
2024,1,19,29,14,6
2024,1,20,20,10,7
2024,1,21,21,11,8
2024,1,22,22,12,9
2024,1,23,23,13,10
2024,1,24,24,14,11
2024,1,25,25,10,12
2024,1,26,26,11,0
2024,1,27,27,12,1
2024,1,28,28,13,2
2024,1,29,29,14,3
2024,1,30,20,10,4
2024,1,31,21,11,5
