Year,Month,Day,MaxTemp,MinTemp,Rainfall
2024,2,1,21,11,1
2024,2,2,22,12,2
2024,2,3,23,13,3
2024,2,4,24,14,4
2024,2,5,25,10,5
2024,2,6,26,11,6
2024,2,7,27,12,7
2024,2,8,28,13,8
2024,2,9,29,14,9
2024,2,10,20,10,10
2024,2,11,21,11,11
2024,2,12,22,12,12
2024,2,13,23,13,0
2024,2,14,24,14,1
2024,2,15,25,10,2
2024,2,16,26,11,3
2024,2,17,27,12,4
2024,2,18,28,13,5
2024,2,19,29,14,6
2024,2,20,20,10,7
2024,2,21,21,11,8
2024,2,22,22,12,9
2024,2,23,23,13,10
2024,2,24,24,14,11
2024,2,25,25,10,12
2024,2,26,26,11,0
2024,2,27,27,12,1
2024,2,28,28,13,2
2024,2,29,29,14,3
2024,2,30,20,10,4
2024,2,31,21,11,5
