Year,Month,Day,MaxTemp,MinTemp,Rainfall
2024,5,1,21,11,1
2024,5,2,22,12,2
2024,5,3,23,13,3
2024,5,4,24,14,4
2024,5,5,25,10,5
2024,5,6,26,11,6
2024,5,7,27,12,7
2024,5,8,28,13,8
2024,5,9,29,14,9
2024,5,10,20,10,10
2024,5,11,21,11,11
2024,5,12,22,12,12
2024,5,13,23,13,0
2024,5,14,24,14,1
2024,5,15,25,10,2
2024,5,16,26,11,3
2024,5,17,27,12,4
2024,5,18,28,13,5
2024,5,19,29,14,6
2024,5,20,20,10,7
2024,5,21,21,11,8
2024,5,22,22,12,9
2024,5,23,23,13,10
2024,5,24,24,14,11
2024,5,25,25,10,12
2024,5,26,26,11,0
2024,5,27,27,12,1
2024,5,28,28,13,2
2024,5,29,29,14,3
2024,5,30,20,10,4
2024,5,31,21,11,5
