Year,Month,Day,MaxTemp,MinTemp,Rainfall
2024,32,1,21,11,1
2024,32,2,22,12,2
2024,32,3,23,13,3
2024,32,4,24,14,4
2024,32,5,25,10,5
2024,32,6,26,11,6
2024,32,7,27,12,7
2024,32,8,28,13,8
2024,32,9,29,14,9
2024,32,10,20,10,10
2024,32,11,21,11,11
2024,32,12,22,12,12
2024,32,13,23,13,0
2024,32,14,24,14,1
2024,32,15,25,10,2
2024,32,16,26,11,3
2024,32,17,27,12,4
2024,32,18,28,13,5
2024,32,19,29,14,6
2024,32,20,20,10,7
2024,32,21,21,11,8
2024,32,22,22,12,9
2024,32,23,23,13,10
2024,32,24,24,14,11
2024,32,25,25,10,12
2024,32,26,26,11,0
2024,32,27,27,12,1
2024,32,28,28,13,2
2024,32,29,29,14,3
2024,32,30,20,10,4
2024,32,31,21,11,5
