Year,Month,Day,MaxTemp,MinTemp,Rainfall
2024,27,1,21,11,1
2024,27,2,22,12,2
2024,27,3,23,13,3
2024,27,4,24,14,4
2024,27,5,25,10,5
2024,27,6,26,11,6
2024,27,7,27,12,7
2024,27,8,28,13,8
2024,27,9,29,14,9
2024,27,10,20,10,10
2024,27,11,21,11,11
2024,27,12,22,12,12
2024,27,13,23,13,0
2024,27,14,24,14,1
2024,27,15,25,10,2
2024,27,16,26,11,3
2024,27,17,27,12,4
2024,27,18,28,13,5
2024,27,19,29,14,6
2024,27,20,20,10,7
2024,27,21,21,11,8
2024,27,22,22,12,9
2024,27,23,23,13,10
2024,27,24,24,14,11
2024,27,25,25,10,12
2024,27,26,26,11,0
2024,27,27,27,12,1
2024,27,28,28,13,2
2024,27,29,29,14,3
2024,27,30,20,10,4
2024,27,31,21,11,5
